NAME_1,poblacion
Aguascalientes,1321453
Baja California,3584605
Baja California Sur,809833
Campeche,935047
Chiapas,5382083
Chihuahua,3782018
Distrito Federal,8811266
Coahuila,3029740
Colima,747801
Durango,1799320
México,17363387
Guanajuato,5908845
Guerrero,3607210
Hidalgo,2947206
Jalisco,8110943
Michoacán,4658159
Morelos,1965487
Nayarit,1268460
Nuevo León,5229492
Oaxaca,4061497
Puebla,6313789
Querétaro,2063148
Quintana Roo,1664667
San Luis Potosí,2801839
Sinaloa,3034942
Sonora,3011810
Tabasco,2431339
Tamaulipas,3622605
Tlaxcala,1313067
Veracruz,8163963
Yucatán,2172839
Zacatecas,1600412
