timestamp, modelo, validacion, kaggle, comentario
2019-10-31_20:06:01,PromedioZona,946206.6399678161,None,Antes de usar datos de ciudad y provincia
2019-10-31_20:39:50,PromedioZona,855428.1439526522,850645.50501,Resultado local: 855428.1439526522
2019-11-03_21:16:02,RegresionLineal,1096428.2554070135,1098730.81087,Primer intento con regresor lineal
2019-11-16_12:18:06,XGBoostRegressor,974263.25,973217.76851,xgboost regressor muy básico - puntaje local 974.263
2019-11-16_14:21:00,XGBoostRegressor,769896.8,767081.69165,xgboost regressor con one hot encoding para tipodepropiedad y provincia - puntaje local 769896.8
2019-11-16_14:29:19,XGBoostRegressor,738739.3,732099.63483,xgboost regressor con one hot encoding para tipodepropiedad,provincia y ciudad - puntaje local 738739.3
2019-11-16_16:10:40,EnsamblePromedioXGBoost,None,700516.94212,test ensamble promedios + xgboost sin validacion local
2019-11-17_12:41:46,EnsamblePromedioXGBoost,692638.2637891715,695056.97683,ensamble promedios + xgboost con peso 0.7
2019-11-17_17:49:22,EnsamblePromedioXGBoostV2,632826.1,625924.92624,ensamble promedios + xgboost (concatenados)
2019-11-20_22:01:11,EnsamblePromedioXGBoostConcatenados,624058.0,616174.27842,ensamble promedios + xgboost (concatenados) - con analisis de titulo y descripcion - score local 624058
2019-11-21_23:41:06,EnsamblePromedioXGBoostConcatenados,723286.44,None,Con dolar, año y mes - local 723286.44 (con error)
2019-11-22_01:16:14,EnsamblePromedioXGBoostConcatenados,622174.75,614615.74339,Con dolar, año y mes - local 622174.75
2019-11-22_02:30:25,EnsambleConcatenados,621481.25,614154.14807,ensamble con regresor lineal - local 621481.25
2019-11-26_01:03:24,EnsambleConcatenadosPrediciendoNaNs,622833.06,616320.06679,ensamble prediciendo nans - local 622833.06
2019-11-26_19:53:04,XGBoostRegressor,578074.4,580542.88512,xgboost regressor con hiperparametros no default pero sin tunear - local 578074.4
2019-11-27_14:04:31,EnsambleConcatenados,535801.6,533706.85016,ensamble con xgboost tuneado - local 535801.6
2019-11-30_19:35:30,EnsambleConcatenados,534928.4,532548.36036,con mejoras en modelo lineal y por zonas - local 534928.4
2019-12-01_15:47:08,EnsambleConcatenados,535595.7,533005.32704,con mlp - local 535595.7
